DataExtractDate,ReportPeriod,Terminal,Arrival_Departure,Domestic_International,Passenger_Count,Row Labels,Sum of Passenger_Count
5/1/2014 0:00,01-06,Imperial Terminal,Arrival,Domestic,490,01/01/06,4756159
5/1/2014 0:00,01-06,Imperial Terminal,Departure,Domestic,498,02/01/06,4250155
5/1/2014 0:00,01-06,Misc. Terminal,Arrival,Domestic,753,03/01/06,5090294
5/1/2014 0:00,01-06,Misc. Terminal,Departure,Domestic,688,04/01/06,5087874
5/1/2014 0:00,01-06,Terminal 1,Arrival,Domestic,401535,05/01/06,5177408
5/1/2014 0:00,01-06,Terminal 1,Departure,Domestic,389745,06/01/06,5510023
5/1/2014 0:00,01-06,Terminal 1,Departure,International,561,07/01/06,5919723
5/1/2014 0:00,01-06,Terminal 2,Arrival,Domestic,98991,08/01/06,5745243
5/1/2014 0:00,01-06,Terminal 2,Arrival,International,163067,09/01/06,4707983
5/1/2014 0:00,01-06,Terminal 2,Departure,Domestic,93672,10/01/06,4898421
5/1/2014 0:00,01-06,Terminal 2,Departure,International,156751,11/01/06,4825059
5/1/2014 0:00,01-06,Terminal 3,Arrival,Domestic,121649,12/01/06,5072332
5/1/2014 0:00,01-06,Terminal 3,Arrival,International,26585,01/01/07,4805816
5/1/2014 0:00,01-06,Terminal 3,Departure,Domestic,120111,02/01/07,4305293
5/1/2014 0:00,01-06,Terminal 3,Departure,International,60948,03/01/07,5241814
5/1/2014 0:00,01-06,Terminal 4,Arrival,Domestic,381419,04/01/07,5173114
5/1/2014 0:00,01-06,Terminal 4,Arrival,International,68348,05/01/07,5256929
5/1/2014 0:00,01-06,Terminal 4,Departure,Domestic,374238,06/01/07,5626463
5/1/2014 0:00,01-06,Terminal 4,Departure,International,42256,07/01/07,6052849
5/1/2014 0:00,01-06,Terminal 5,Arrival,Domestic,135622,08/01/07,5939548
5/1/2014 0:00,01-06,Terminal 5,Arrival,International,32634,09/01/07,4805942
5/1/2014 0:00,01-06,Terminal 5,Departure,Domestic,128138,10/01/07,5070042
5/1/2014 0:00,01-06,Terminal 5,Departure,International,25531,11/01/07,4973055
5/1/2014 0:00,01-06,Terminal 6,Arrival,Domestic,195820,12/01/07,5187718
5/1/2014 0:00,01-06,Terminal 6,Arrival,International,6190,01/01/08,4810815
5/1/2014 0:00,01-06,Terminal 6,Departure,Domestic,195765,02/01/08,4451410
5/1/2014 0:00,01-06,Terminal 6,Departure,International,5567,03/01/08,5233679
5/1/2014 0:00,01-06,Terminal 7,Arrival,Domestic,240807,04/01/08,4949835
5/1/2014 0:00,01-06,Terminal 7,Arrival,International,36658,05/01/08,5247987
5/1/2014 0:00,01-06,Terminal 7,Departure,Domestic,231679,06/01/08,5539873
5/1/2014 0:00,01-06,Terminal 7,Departure,International,43104,07/01/08,5791568
5/1/2014 0:00,01-06,Terminal 8,Arrival,Domestic,101253,08/01/08,5715285
5/1/2014 0:00,01-06,Terminal 8,Departure,Domestic,100406,09/01/08,4465044
5/1/2014 0:00,01-06,Tom Bradley International Terminal,Arrival,Domestic,2658,10/01/08,4681298
5/1/2014 0:00,01-06,Tom Bradley International Terminal,Arrival,International,410940,11/01/08,4276368
5/1/2014 0:00,01-06,Tom Bradley International Terminal,Departure,International,361082,12/01/08,4657588
5/1/2014 0:00,02-06,Imperial Terminal,Arrival,Domestic,200,01/01/09,4268389
5/1/2014 0:00,02-06,Imperial Terminal,Departure,Domestic,166,02/01/09,3791700
5/1/2014 0:00,02-06,Misc. Terminal,Arrival,Domestic,214,03/01/09,4572095
5/1/2014 0:00,02-06,Misc. Terminal,Departure,Domestic,183,04/01/09,4641468
5/1/2014 0:00,02-06,Terminal 1,Arrival,Domestic,350829,05/01/09,4645856
5/1/2014 0:00,02-06,Terminal 1,Departure,Domestic,346828,06/01/09,5040491
5/1/2014 0:00,02-06,Terminal 1,Departure,International,575,07/01/09,5604410
5/1/2014 0:00,02-06,Terminal 2,Arrival,Domestic,88549,08/01/09,5437442
5/1/2014 0:00,02-06,Terminal 2,Arrival,International,135504,09/01/09,4510859
5/1/2014 0:00,02-06,Terminal 2,Departure,Domestic,87518,10/01/09,4761632
5/1/2014 0:00,02-06,Terminal 2,Departure,International,135798,11/01/09,4419709
5/1/2014 0:00,02-06,Terminal 3,Arrival,Domestic,115531,12/01/09,4826792
5/1/2014 0:00,02-06,Terminal 3,Arrival,International,24681,01/01/10,4609720
5/1/2014 0:00,02-06,Terminal 3,Departure,Domestic,115461,02/01/10,3960319
5/1/2014 0:00,02-06,Terminal 3,Departure,International,56437,03/01/10,4812026
5/1/2014 0:00,02-06,Terminal 4,Arrival,Domestic,341132,04/01/10,4686946
5/1/2014 0:00,02-06,Terminal 4,Arrival,International,59514,05/01/10,4956596
5/1/2014 0:00,02-06,Terminal 4,Departure,Domestic,340906,06/01/10,5311394
5/1/2014 0:00,02-06,Terminal 4,Departure,International,37848,07/01/10,5692861
5/1/2014 0:00,02-06,Terminal 5,Arrival,Domestic,119847,08/01/10,5617846
5/1/2014 0:00,02-06,Terminal 5,Arrival,International,26363,09/01/10,4695395
5/1/2014 0:00,02-06,Terminal 5,Departure,Domestic,121053,10/01/10,4988085
5/1/2014 0:00,02-06,Terminal 5,Departure,International,25875,11/01/10,4689082
5/1/2014 0:00,02-06,Terminal 6,Arrival,Domestic,179516,12/01/10,5049857
5/1/2014 0:00,02-06,Terminal 6,Arrival,International,5816,01/01/11,4663181
5/1/2014 0:00,02-06,Terminal 6,Departure,Domestic,182833,02/01/11,4121536
5/1/2014 0:00,02-06,Terminal 6,Departure,International,3839,03/01/11,4951799
5/1/2014 0:00,02-06,Terminal 7,Arrival,Domestic,226341,04/01/11,5028216
5/1/2014 0:00,02-06,Terminal 7,Arrival,International,29077,05/01/11,5477064
5/1/2014 0:00,02-06,Terminal 7,Departure,Domestic,224219,06/01/11,5631716
5/1/2014 0:00,02-06,Terminal 7,Departure,International,37687,07/01/11,6071342
5/1/2014 0:00,02-06,Terminal 8,Arrival,Domestic,102735,08/01/11,5918524
5/1/2014 0:00,02-06,Terminal 8,Departure,Domestic,99663,09/01/11,4980320
